"name_de";"nummer";"lager_menge_total1";"lagerartikel";"lager_platz1"
"(EINKAUF) Netzkabel für Synchronsteuerung (Linea)";"1001558";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Motorverlängerungskabel-Molex (Linea)";"1001559";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6701 weiß";"1001560";"125";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6704 düne";"1001561";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6727 meteor";"1001562";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6713 schokolade";"1001563";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6724 saphir";"1001564";"75";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6728 tiefschwarz";"1001565";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6731 sonne";"1001566";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6738 weinrot";"1001567";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6739 graphit";"1001568";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6718 mandarine";"1001569";"25";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6722 gras";"1001570";"25";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6723 azur";"1001571";"25";"0";"HMW-Lagerplatz1"
"(EINKAUF) Kunstleder Dolce 6702 champagner";"1001572";"25";"0";"HMW-Lagerplatz1"
"(EINKAUF) soft-skin sonne";"1001573";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) soft-skin arena";"1001574";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) soft-skin vino";"1001575";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) soft-skin marron";"1001576";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) soft-skin weiß";"1001577";"0";"0";"HMW-Lagerplatz1"
"Verschluss mit Stift für Storchenliegen";"1001578";"0";"0";"HMW-Lagerplatz1"
"Kopfteil für Matera 4-Segmente mit Armablagen";"1001579";"0";"0";"HMW-Lagerplatz1"
"(EINKAUF) erwärmbare Liegeflache (Heizpads/Steuerung/Netzteil/Netzzuleitung)";"1001581";"0";"0";"HMW-Lagerplatz1"
"(Ersatzteil) Schnellerer Motor für Modell Stockholm (10 kN)";"1001582";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Premiumversand durch Servicetechniker (Aquatic)";"1001583";"0";"0";"HMW-Lagerplatz1"
"Extra breite Liegefläche 80 cm für Modell Wave Motion";"1001584";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Premiumversand durch Servicetechniker Modell Aquatic";"1001585";"0";"0";"HMW-Lagerplatz1"
"Extra breite Liegefläche 80 cm für Modell Stockholm";"1001586";"0";"0";"HMW-Lagerplatz1"
"(Ersatzteil) Sperrbox Schlüssel für Modell Oslo/Stockholm";"1001587";"9";"0";"HMW-Lagerplatz1"
"WINBACK CET Kabel 3000mm";"1001588";"0";"0";"HMW-Lagerplatz1"
"WINBACK RET Kabel 3000mm";"1001589";"0";"0";"HMW-Lagerplatz1"
"WINBACK Neutral Kabel 3000mm";"1001590";"0";"0";"HMW-Lagerplatz1"
"Schonüberzug ölresistent für Modell Kahuna, sonne";"1001591";"23";"1";"HMW-Lagerplatz1"
"Schonüberzug ölresistent für Modell Kahuna, vino";"1001592";"5";"1";"HMW-Lagerplatz1"
"Schonüberzug ölresistent für Modell Ayurveda Set, sonne";"1001593";"11";"1";"HMW-Lagerplatz1"
"Schonüberzug ölresistent für Modell Ayurveda Set, vino";"1001594";"11";"1";"HMW-Lagerplatz1"
"Schonüberzug ölresistent für Modell Kahuna, arena";"1001595";"9";"1";"HMW-Lagerplatz1"
"Liegenheizung-Set (Händler)";"1001596";"0";"0";"HMW-Lagerplatz1"
"(Polster) Kopfteil Oslo für 2-, 3-, 3Dach-Segmente";"1001597";"0";"0";"HMW-Lagerplatz1"
"Shiatsu-Option";"1001598";"0";"0";"HMW-Lagerplatz1"
"(Polster) Kopfteil Oslo für 4-, 5-, 5Dach-Segmente - nur mittleres Kopfteil, ohne Armablagen";"1001599";"0";"0";"HMW-Lagerplatz1"
"(Polster) Armablage Oslo, rechts";"1001600";"0";"0";"HMW-Lagerplatz1"
"(Polster) Armablage Oslo, links";"1001601";"0";"0";"HMW-Lagerplatz1"
"(Polster) Liegefläche Oslo für 2-, 4-Segmente";"1001602";"0";"0";"HMW-Lagerplatz1"
"(Polster) Liegefläche Oslo für 2-, 4-Segmente mit Heizung";"1001603";"0";"0";"HMW-Lagerplatz1"
"(Polster) Liegefläche Mittelteil Oslo für 3-, 5-Segmente";"1001604";"0";"0";"HMW-Lagerplatz1"
"(Polster) Liegefläche Mittelteil Oslo für 3-, 5-Segmente mit Heizung";"1001605";"0";"0";"HMW-Lagerplatz1"
"(Polster) Liegefläche Mittelteil Oslo für 3Dach-, 5Dach-Segmente";"1001606";"0";"0";"HMW-Lagerplatz1"
"(Polster) Liegefläche Mittelteil Oslo für 3Dach-, 5Dach-Segmente mit Heizung";"1001607";"0";"0";"HMW-Lagerplatz1"
